,DTSTART,DTEND,UID,CREATED,LAST-MODIFIED,LOCATION,SEQUENCE,STATUS,SUMMARY,TRANSP,YEAR_START,MONTH_START,DAY_START,CALDATE_START,TIME_START,YEAR_END,MONTH_END,DAY_END,CALDATE_END,TIME_END,TIME_DURATION
0,20121001T210000Z,20121001T220000Z,cis3tl8u9ual9bsdr0fags0p50@google.com,20120930T222151Z,20120930T222251Z,,2,TENTATIVE,Computador,OPAQUE,2012,10,01,2012-10-01,21:00,2012,10,01,2012-10-01,22:00,01:00:00
1,20121009T190000Z,20121009T200000Z,ee86fnp4e130p45ckk07j6bojo@google.com,20121007T002002Z,20121007T002003Z,,1,TENTATIVE,Prova do cultura inglesa,OPAQUE,2012,10,09,2012-10-09,19:00,2012,10,09,2012-10-09,20:00,01:00:00
3,20121224T110000Z,20121224T120000Z,rg0jprbdqq6nbje3jf3f1ofb8s@google.com,20121218T162250Z,20121218T162250Z,,1,TENTATIVE,Natal,OPAQUE,2012,12,24,2012-12-24,11:00,2012,12,24,2012-12-24,12:00,01:00:00
4,20121221T103000Z,20121221T123000Z,24i0e5pn4ti7u1c4i7hrp4d0v4@google.com,20121218T161955Z,20121218T162349Z,,1,TENTATIVE,Prova Química/Português/Literatura,OPAQUE,2012,12,21,2012-12-21,10:30,2012,12,21,2012-12-21,12:30,02:00:00
5,20121219T103000Z,20121219T123000Z,qev1l7itjaiurngbkcesrrk2dk@google.com,20121218T162049Z,20121218T162351Z,,1,TENTATIVE,Prova Matemática/Inglês,OPAQUE,2012,12,19,2012-12-19,10:30,2012,12,19,2012-12-19,12:30,02:00:00
6,20121220T093000Z,20121220T123000Z,tsqom1mttbe84ho49q5a8ff9hg@google.com,20121218T162149Z,20121218T162352Z,,2,TENTATIVE,Prova Biologia,OPAQUE,2012,12,20,2012-12-20,09:30,2012,12,20,2012-12-20,12:30,03:00:00
7,20121222T203000Z,20121223T000000Z,dmsl4ii26ir8fqfve1ihfgtgek@google.com,20121218T162249Z,20121218T162449Z,,2,TENTATIVE,Reunião povo da igreja,OPAQUE,2012,12,22,2012-12-22,20:30,2012,12,23,2012-12-23,00:00,03:59:30
8,20130111T100000Z,20130113T220000Z,vpkvoop8o9va12uv3qtfceglhs@google.com,20130106T115001Z,20130106T115001Z,,1,TENTATIVE,Aldeia-Caras e casa de Joyce,OPAQUE,2013,01,11,2013-01-11,10:00,2013,01,13,2013-01-13,22:00,12:00:00
9,20130118T160000Z,20130118T220000Z,et9ei1pilbf1udib629qf9a5s8@google.com,20130106T115223Z,20130106T115224Z,,1,TENTATIVE,Aldeia- Casa de Andreza,OPAQUE,2013,01,18,2013-01-18,16:00,2013,01,18,2013-01-18,22:00,06:00:00
10,20130121T100000Z,20130126T110000Z,r1ugcmj524ll190rt0ee08ddto@google.com,20130106T115423Z,20130106T115524Z,,1,TENTATIVE,Acamppe Aldeia,OPAQUE,2013,01,21,2013-01-21,10:00,2013,01,26,2013-01-26,11:00,01:00:00
11,20130727T190000Z,20130728T173000Z,fuhiqvubmgt3mc1jjo5k3dp190@google.com,20130727T155808Z,20130727T155808Z,,0,CONFIRMED,Tomorrowland TV Live - Day 2 - Saturday,OPAQUE,2013,07,27,2013-07-27,19:00,2013,07,28,2013-07-28,17:30,22:00:30
12,20140103T120000Z,20140106T120000Z,rohtleua6sr81ejvuun33hh368@google.com,20140102T155754Z,20140102T155755Z,,1,TENTATIVE,Tamandare,OPAQUE,2014,01,03,2014-01-03,12:00,2014,01,06,2014-01-06,12:00,00:00:00
13,20140111T120000Z,20140111T190000Z,cr2oetjtt8jbn59n1pjj0d052k@google.com,20140102T155854Z,20140102T155854Z,,1,TENTATIVE,Encontro MAEC,OPAQUE,2014,01,11,2014-01-11,12:00,2014,01,11,2014-01-11,19:00,07:00:00
14,20140120T120000Z,20140125T150000Z,k2bmm27e1ceib99pvpcql1riek@google.com,20140102T155954Z,20140102T155955Z,,1,TENTATIVE,Acamp madalena,OPAQUE,2014,01,20,2014-01-20,12:00,2014,01,25,2014-01-25,15:00,03:00:00
16,20121010T173000Z,20121010T223000Z,1406q2ei58fugs52o3q1om892k@google.com,20121007T002102Z,20140607T064235Z,,1,TENTATIVE,Plaza com garotas,OPAQUE,2012,10,10,2012-10-10,17:30,2012,10,10,2012-10-10,22:30,05:00:00
17,20120925T160000Z,20120925T170000Z,l80q4n2id9uiiv8se536s3p844@google.com,20120920T153805Z,20140607T064235Z,,1,TENTATIVE,Trabalho de literatura,OPAQUE,2012,09,25,2012-09-25,16:00,2012,09,25,2012-09-25,17:00,01:00:00
18,20121001T203000Z,20121001T213000Z,pk19307chmj5dnrr9m20m49o9c@google.com,20120920T153804Z,20140607T064235Z,,1,TENTATIVE,Consulta com dentista,OPAQUE,2012,10,01,2012-10-01,20:30,2012,10,01,2012-10-01,21:30,01:00:00
19,20120929T110026Z,20120929T160026Z,ri0nurkdefsqcihk0k2u6n2bds@google.com,20120923T150841Z,20140607T064235Z,,2,TENTATIVE,MIC,OPAQUE,2012,09,29,2012-09-29,11:00,2012,09,29,2012-09-29,16:00,05:00:00
20,20121003T030000Z,20121004T020000Z,5c9gid63deces0o8bfae5seikk@google.com,20120920T153806Z,20140607T064236Z,,1,TENTATIVE,Aniversário,OPAQUE,2012,10,03,2012-10-03,03:00,2012,10,04,2012-10-04,02:00,23:00:00
22,20150205T020000Z,20150205T030000Z,n3c35jenihtut0ut71759c2b2o@google.com,20150119T181158Z,20150119T181158Z,,1,TENTATIVE,Final TD1,OPAQUE,2015,02,05,2015-02-05,02:00,2015,02,05,2015-02-05,03:00,01:00:00
23,20150129T020000Z,20150129T030000Z,i2l2js2ahj4fl31kcakl4d3888@google.com,20150119T181159Z,20150119T181159Z,,1,TENTATIVE,Prova 2 TD1,OPAQUE,2015,01,29,2015-01-29,02:00,2015,01,29,2015-01-29,03:00,01:00:00
24,20150127T020000Z,20150127T030000Z,th2b1m5snbm76uollnvtmvrlcs@google.com,20150119T181200Z,20150119T181200Z,,1,TENTATIVE,Prova 2 TPC,OPAQUE,2015,01,27,2015-01-27,02:00,2015,01,27,2015-01-27,03:00,01:00:00
26,20150528T210000Z,20150530T000000Z,2m7hobd3fdg7iot3krjrtm8u4c@google.com,20150524T190701Z,20150524T190701Z,"Auditório Clério Lemos - FCAP/UPE - Av. Sport Clube do Recife\, 25",0,CONFIRMED,I Fórum Pernambucano de Protagonistas pela Sustentabilidade,OPAQUE,2015,05,28,2015-05-28,21:00,2015,05,30,2015-05-30,00:00,03:00:00
27,20170629T150000Z,20170629T160000Z,d6q69afi0o1ccqtdc2b0eduak4@google.com,20170622T140244Z,20170622T140244Z,,0,CONFIRMED,,OPAQUE,2017,06,29,2017-06-29,15:00,2017,06,29,2017-06-29,16:00,01:00:00
28,20170914T140000Z,20170914T150000Z,3da4v67tprkghr3ojqp659tsnk@google.com,20170829T185028Z,20170829T185028Z,https,0,CONFIRMED,OSF 101,OPAQUE,2017,09,14,2017-09-14,14:00,2017,09,14,2017-09-14,15:00,01:00:00
29,20171114T170000Z,20171114T200000Z,74qvbiir76n66v46jeie0188ji@google.com,20171114T003409Z,20171114T003409Z,"Prefeitura da Cidade do Recife\, Av. Cais do Apolo\, 925 - Recife\",0,CONFIRMED,Prefeitura pegar notas fiscais,OPAQUE,2017,11,14,2017-11-14,17:00,2017,11,14,2017-11-14,20:00,03:00:00
30,20171114T110000Z,20171114T160000Z,60t2ekr3mmi0vcjhqd3hpvq7no@google.com,20171114T003522Z,20171114T003523Z,"Associação dos Empregados da Fundação Joaquim Nabuco\, R. Dois Irm",0,CONFIRMED,Estudar Teoria Gov. Ambiental,OPAQUE,2017,11,14,2017-11-14,11:00,2017,11,14,2017-11-14,16:00,05:00:00
31,20171115T123000Z,20171115T153000Z,7so1nmsru3g0g0opi52r4q0i8f@google.com,20171114T003623Z,20171114T003920Z,,0,CONFIRMED,Trabalhar em Tese Carol,OPAQUE,2017,11,15,2017-11-15,12:30,2017,11,15,2017-11-15,15:30,03:00:00
